tweet,label
سفر و ماجراجویی‌ها خیلی بهتر از همیشه به نظر میان من همیشه عاشق اکتشاف دنیای جدید بودم و همین حس باعث میشه که هر روز بیشتر از قبل بخوام به سفر برم جهان یه جاهای خیلی زیبا و جذاب داره که منتظر ماست برید و کشف کنید,travel_and_adventure
میگن برای زیبایی و آرایش یکم پول خرج کنیم ولی واقعا چیزی که تو خودمونه مهمتر از همه حتی بدون آرایش هم میشه خوشگل بود فقط کافیه خودمونو باور کنیم,beauty_and_cosmetics
من عاشق حیوانات خانگی هستم خوشحالم که یه دوست فوق‌العاده مثل حیوون خونگی دارم که همیشه باهامه و هیجان زندگیمون رو دو چندان میکنه حیوانات خیلی مهربون و وفادار هستن واقعا بهترین رفقا هستن,pets_and_animals
تکنولوژی و نوآوری چه بهتر از اینکه دنیا رو بهتر و راحت‌تر کنن؟ همیشه دنبال آخرین اختراعات و ایده‌های جدید هستم با تکنولوژی همراه بودن واقعا زندگی رو بهبود می‌بخشه,technology_and_innovation
من عاشق حیواناتم هر کی یه حیوون خونگی داره؟ من یه گربه دارم واقعا برام دلنشینه و همیشه شادمون میکنه حیوونا خیلی خوبن,pets_and_animals
این روزاها خنده چیزی نیست که کم بیاره نیاز داریم به بیشترین میزان شوخی و طنز تا آخر سال برسیم,funny_and_humorous
تکنولوژی و نوآوری خیلی باحالن همیشه منتظر چیزای جدید و هیجان انگیزشون هستم,technology_and_innovation
فوتبال یکی از بهترین ورزش‌هاست همواره هیجان‌انگیز و پرادرنگ عاشق تماشای بازی‌های فوتبال هستم و همیشه حمایت می‌کنم به نظرتون چه تیمی قهرمان لیگ میشه؟,sports_and_athletics
اوه اوه دیشب دیدم که دستانم پر از زباله بوده خیلی باید دقت کنیم به محیط‌زیست و پایداریش با همه قشرهای جامعه باید همکاری کنیم تا دنیای بهتری بسازیم بیایید همه با هم زباله‌ها رو جمع کنیم و به بازیافت بفرستیم امیدوارم همه به این موضوع حساس باشند,environment_and_sustainability
دنیای ما داره توی آشپزخونه تبدیل به یه آشغالدونی میشه بیاید همه با هم از این به بعد کمتر غذای اضافی بسازیم و زباله‌ها رو جدا جمع کنیم برای محیط زیستمون مسئولیت قبول کنیم,environment_and_sustainability
ببینید کی امشب با یکی از ویترهای هات کافه بن‌بن لاس زده,entertainment_and_pop_culture
آخرین مدل‌ها و استایل‌های فشن خیلی قشنگ و جذابن همیشه دنبال ترند‌های جدید باشید و استایل خودتون رو به‌روز کنید فشن و استایل حس خوبی به آدم می‌ده,fashion_and_style
ریدن دست خداست,religion_and_spirituality
برید کنار باد بیاد بابا,travel_and_adventure
خانواده یعنی همه چیز برای من اونا همیشه پشتمندم بودن و بیشتر از هر چیز دیگه ارزشمندن هرچی بگم کمه برای توصیف عشقی که تو دلمون هست همیشه خوشبختی و سلامتی برای خانواده‌هایمون آرزو می‌کنم,family_and_parenting
انجامش دادم,other
چه گهی دارید می‌خورید واقعا چرا انقد حیوونید شما آخه,food_and_cooking
علم و کشف‌ها همیشه هیجان‌انگیز بوده و به ذهنمون روز به‌روز تازه چیزها میاره عاشق این حس میشم که بتونم در دنیای علم و کشف‌ها سفر کنم و چیزهای جدید یاد بگیرم,science_and_discovery
اینا دیگه منو دوست ندارن یکی بیاد منو ببره از اینجا,social_issues_and_activism
هرچی دیشب خوش گذشت امشب داره از دماغم درمیاد,funny_and_humorous
کاش یکی بود می‌شست بالا سرم برام قصه میخوند تا بخوابم,family_and_parenting
اووه هوا امروز خیلی گرمه خیلی دلم می‌خواد توی یه دریاچه یا ساحل باشم و توی آب یخ‌زده شنا کنم چرا وقتی هوا گرمه همیشه کار داریم؟,weather_and_seasons
اووهووم من عاشق آشپزی و غذا خوردنم همیشه یهویی دلم میخواد برم دست به دست بزنم و غذای خوشمزه درست کنم چقدر خوبه که طعم‌ها رو تجربه کنیم و با هم به خوردن لذت ببریم میتونم تا صبح تا شب درباره غذا و آشپزی حرف بزنم,food_and_cooking
دلم میخواد همیشه خوشگل باشم و آرایش کنم ولی خیلی وقتا حوصله ندارم و صبح‌ها خوابم میبره,beauty_and_cosmetics
کسی در جریانه شهید ثانی چی می‌زده؟,politics_and_current_affairs
من واقعا متوجه نمی‌شم اگه قراره منو از جام بلند کنی «چون اینجا راحت‌تری» گه می‌خوری میای توی واگن آقایون,sports_and_athletics
هر کی گفت «مذهبی نیستم ولی» شک نکنین عرزشیه و کسشر میگه,religion_and_spirituality
ورزش و ورزشکاران یهویی دلتونو شاد میکنه همون حسی که وقتی با تمام قوایتون به دستاوردهای خودتون میرسین برای همه دوستداران ورزش تبریک میگم ادامه بدین و بهترین خودتون بشین ️,sports_and_athletics
شما باباتون توقع نداره وقتی وارد یه سیستمی میشید و رمزو ندارید خودتون بتونید رمز درست رو جنریت کنید؟ پن؛ تو مگه کامپیوتر نخوندی؟ یه رمز بانک نمیتونی پیدا کنی؟,technology_and_innovation
همین که آقا صالح فرمودن,politics_and_current_affairs
خواندن کتابا همیشه خوشحالم میکنه دنیای دیگه‌ای رو برام باز میکنن و میذارن فکر کنم واقعا عالیه,books_and_literature
هنر و طراحی حس خاصی به زندگی ما می‌دهند این هنرمندان با خلاقیت و استعدادشان ما را به دنیایی جدید می‌برند همیشه شگفت‌انگیز و مبهوت می‌شوم از زیبایی و هنری که در اثرهای آنها می‌بینم,art_and_design
من عاشق آشپزی هستم همیشه از آشپزی و آموزش دستورهای جدید خوشم میاد فکر می‌کنم آشپزی یک هنره و همیشه برام یه راهی برای خلاق شدن و استرس زداییه آشپزی خیلی شیرینه,food_and_cooking
سلامت روانیتون با بک‌گراند گوشیتون رابطه مستقیم دارد,health_and_wellness
شاید اون دنیا,other
ماشینا چیزیه که همه میخوان و دوست دارن جدیدا ماشینای الکتریکی هم خیلی جذاب شدن وایسا یه ماشین خوب باشه کافیه,automotive
با وجود اینکه کما‌ل‌گرام ولی در واقع راحت راضی می‌شم فقط یه زندگی معمولی و پیش‌رونده می‌خوام هیچی دیگه همین خلاصه می‌رم بخوابم,other
همه باید مسئولیت‌پذیری خود را در قبال محیط‌زیست بگیریم و به پایداری آن توجه کنیم زمان هنوز برای تغییر است بیایید با هم‌دست به دست شویم و به زمینمون کمک کنیم,environment_and_sustainability
ماشینای جدید خریدیم واقعا خوشحالم امیدوارم سرعتشونم زودتر برسه,automotive
کتاب و ادبیات یکی از بهترین چیزهاییه که میتونی برای خودت بخری خوندن کتابا وارد دنیای جدیدی میشی که هیچ وقت پیشتر ندیدی حتما برو یه کتاب بخر و شروع کن به خوندن حس خوبی بهت میده,books_and_literature
ها‌ها سیک کن دایی,funny_and_humorous
هنر و طراحی همیشه جذاب و هیجان‌انگیز بوده و همیشه خواهد بود هر طراحی و هر اثر هنری یک داستان داره که منتظره کسی برای شنیدنشه هر چی بیشتر در مورد هنر و طراحی می‌دونم عاشقش میشم,art_and_design
خب امروز بنا به دلایلی تصمیم گرفت فعالیت رسمی خودم در توییتر رو از سر بگیرم کمک کنید چجوری با چه کانسپت هایی توییت بزنم؟,other
مثلا سر این ماجرا نباید ناراحت می‌شدم ولی شدم عاح ننگ,other
چقدر دوست دارم وقتم رو صرف کرم به خریدن آرایش و محصولات زیبایی کنم همیشه احساس خوبی می‌کنم وقتی خودم رو زیبا می‌کنم و به خودم مراقبت می‌کنم به نظرتون آرایش خیلی مهمه؟,beauty_and_cosmetics
به نظرم این سیاستمدارا همشون یه سری بازی دارن و ما فقط ابزارشونیم حالا کی میخواد به ما حقیقت رو بگه؟,politics_and_current_affairs
یادم رفته بود شکلات چقد میتونه خوشمزه باشه,food_and_cooking
کتاب‌ها و ادبیات عالم بزرگی هستند که ما را به دنیایی دیگر می‌برند هر کتابی یک داستان جدید دارد که ما را درگیر می‌کند و احساساتمان را به هم می‌زند هر کسی که علاقه‌مند به خواندن است باید این عالم جذاب را بررسی کند,books_and_literature
تکنولوژی و نوآوری چقدر باحالن هر روز یه چیز جدید یاد می‌گیریم و دنیا رو بهتر می‌کنیم اینم یه برکتی که داریم همیشه به آینده‌ی تکنولوژیک بازیگرد باشیم و به امید کشف‌های جدید به جلو بریم,technology_and_innovation
من زخم زدم اما تو گردن گردن گردن,health_and_wellness
هنر و طراحی چقدر دلپذیر و خلاقانه هستن هر کاری که با هنر و طراحی ارتباط داره زندگی رو زیبا میکنه و روح رو شاد میکنه این دو حوزه واقعا جادوگرانه هستن و باعث میشن دنیای اطرافمون رنگارنگ و جذاب بشه,art_and_design
و از این کشور رها شوم چقدر به یک نفر میتونه فشار بیاد که وطنش رو رها کنه و با تمام وجود به فکر رفتن باشه,social_issues_and_activism
اسم ایشون اولین اسمی بود که حین ورود به دانشگاه چند روز قبل از در فنی به چشمم خورد داشتم اسامی ممنوع‌الورود‌ها رو نگاه می‌کردم که دیدم چند نفری رو و الان داریم پیامد‌های ایستادگی ایشون رو به چشم می‌بینیم کی قراره همه چی تموم شه؟ نمیدونم,education_and_learning
کتاب‌ها و ادبیات یک دنیای جادویی و زیباست هر کتابی می‌تواند تو رو به دنیای دیگری ببره و تو رو در غم و شادی‌های شخصیت هاش شریک کنه خوندن کتاب‌ها یک تجربه بی نظیره که هر کسی باید حتما تجربه کنه,books_and_literature
این روزها خبرهای سیاسی و مسائل روز داغ‌تر از آبجو هستن وقتی تلویزیون رو روشن می‌کنم کلی خبرهای جدید می‌بینم که سرم رو گیج میکنن همه چی زیاده‌روی شده و اصلا نمیشه دنبالشون رفت باید یه فیلتر خوب پیدا کنم که بتونم این همه اطلاعاتو جذب نکنم,politics_and_current_affairs
دنیامون داره خراب میشه و ما هنوز هیچی نمی‌کنیم وقتشه که همه ما به محیط زیستمون احترام بذاریم و برای پایداریش تلاش کنیم میتونیم با کارهای کوچیکی شروع کنیم مثل جدا کردن زباله‌ها و استفاده از انرژی‌های تجدیدپذیر همه با هم میتونیم تغییری روی دنیا ایجاد کنیم,environment_and_sustainability
ماشینای جدید چقدر گرون شدن کاش می‌شد همه به راحتی ماشین بخریم,automotive
استقامت و انگیزه در ورزش ورزیدن بیش از هرچیزی بهترین دوست ما میشن حالا برو و با همه قدرتت تمرین کن و نشون بده چقدر قوی هستی,sports_and_athletics
دنیای ما احتیاج به حفظ محیط‌زیست و پایداری داره همه باید مسئولیت خودمون رو نسبت به این موضوع بپذیریم زباله‌ها رو جمع کنیم از آب و هوای خوب مراقبت کنیم و از منابع طبیعی با هوشمندی استفاده کنیم برای آینده بهترمون,environment_and_sustainability
من عاشق کتاب‌ها هستم هیچ چیزی بهتر از گم‌شدن در دنیایی دیگر و احساس همراهی با شخصیت‌های خیالی نیست هر شب قبل از خواب یک صفحه از کتابی رو باز می‌کنم و به دنیایی دیگر سفر می‌کنم کتاب‌ها بهترین دوستان منند,books_and_literature
شما وضعیتو ببین طرف اومده یه چیزی راجع به سلنا و زین اونور دنیا گفته انقد ملت ریدن بهش و جاجش کردن مجبور شده اینو بگه چیه این توییتر؟,entertainment_and_pop_culture
آخوند کیرم دهنت,social_issues_and_activism
کاش یه جوون مرد ازبین اینایی که فاز خود کشی دارن پاشه بره آزادی خودشو منفجر کنه هم به هدفش رسیده هم مفید واقع‌شده,social_issues_and_activism
سفر و ماجراجویی همیشه بهترین راه برای فرار از روزمرگی و روحیه راضی است هر کجا که بروی دنیا را ببین و تجربه‌های جدیدی را پیدا کن به خاطر بگیر که زندگی یک ماجراجویی است,travel_and_adventure
جهان ما تنها محلی است که برای زندگی ما وجود دارد بیایید برای حفظ محیط‌زیست و پایداری آن تلاش کنیم بچه‌ها را آموزش دهیم که چگونه به طبیعت احترام بگذارند و از منابع طبیعی محافظت کنند همه می‌توانیم تغییری بهتر را آغاز کنیم,environment_and_sustainability
علم و کشف همیشه جذابه همیشه دوست داشتم که ببینم چطور دنیای پیرامونمون کار میکنه و چیزهای جدید یاد بگیرم نمیدونم چرا ولی هر وقت درباره علم میخونم حس خوبی بهم دست میده شاید به خاطر اینه که دلم میخواد بیشتر بفهمم و بیشتر کشف کنم,science_and_discovery
امروز هوا خیلی داغ بود خسته شدم از این هوای گرم نمی‌تونم منتظر بشم تا زمستون بیاد و هوای سرد بشه,weather_and_seasons
این روزا بیشتر داریم به فشن فکر می‌کنیم ولی واقعا آیا همه اینا به سلیقه‌مونه یا فقط دنبال مد و مدل‌های جدید هستیم؟ ‍,fashion_and_style
من قبلا خیلی معتقد بودم نباید جلو کسی گریه کرد الان روزی بار در بهترین حالت جلو عالم و ادم گریه می‌کنم توی خیابون دانشگاه کلاس ماشین مترو خونه و هرجایی که فکرشو بکنید,other
مامانم هنوز معتقده افسردگیم صرفا یه تلقینه و هر بار اینو میگه دنیا خراب می‌شه رو سرم حتی اجازه نمیده در موردش حرف بزنم فکر کن مشکلاتت توسط آدم‌های مهم زندگیت انکار و کوچیک شمرده بشه امان از دست خانواده ایرانی,family_and_parenting
حالا دانشجوی شریفی که فک میکنه خنجر به اونجای فیل زده اومده اینجا بهش برمیخوره ولی دوستان ایشون درست میفرمایند دقیقا همینه,education_and_learning
آرایش و زیبایی یه چیزیه که همیشه خوشحالمون میکنه از رژلب تا لاک ناخن همه چیز عالیه همیشه دنبال روشای جدید برای زیباییتون باشید و خودتونو محبوب‌تر کنید,beauty_and_cosmetics
شخصیتت رو با تا آلبوم مورد علاقت نشون بده,entertainment_and_pop_culture
همچو دوساله‌ها منتظرم مرجانه بیاد منو بوجی‌موجی کنه و ببره دکتر,health_and_wellness
اونقدر زیست‌محیطی و پایداری مهمه که باید همه‌ی ما بهش توجه کنیم بیایید همه دست به دست هم بدهیم و به این مسئله اهمیت بدیم برای آینده‌ی بهترمون برای زمینمون,environment_and_sustainability
اخ جون امروز از زندگیم راضیم کاش تافت بزنن به این امید به زندگیم,inspirational_and_motivational
فوتبال دل برای من همیشه شیرینه هیچ‌چیز بهتر از دیدن تیم مورد علاقه‌ام برنده بشه و اون احساس پر انرژی رو تجربه کنم هر روز فوتبال رو دوست‌دار‌تر میشم و به این بازی شگفت‌زده میشم,sports_and_athletics
موضوع این نیست که ناراحتم اینکه ناراحتم ناراحتم نمیکنه صرفا موضوع اینکه چقد دیگه قراره که ناراحت بمونم,other
بعضیا هستن باید بهشون ریکوئست بدی که آیا اجازه می‌دید بهتون ریکوئست بدیم؟,social_issues_and_activism
وقتی خستم نگو چرا ناراحتی,health_and_wellness
اووف چقدر دوست دارم برند خودرویی جدید بخرم همش دلم میخواد باهاش بچرخم و سفر کنم ولی قیمتاش خیلی بالاست باید صبر کنم تا پول بدست بیارم,automotive
هم چیکار کنم که درس نخونم… پاشم سوسیس بندری بزارم,education_and_learning
کتابا و داستانا همیشه یه دنیای دیگه رو برامون باز میکنن احساس می‌کنم هر کتابی یه سفره جدیده که بهمون میگه بیا توی دنیای من بیشتر بدونی,books_and_literature
سرمایه‌گذاری در بورس یه کار خیلی خوبه ولی باید حواسمون باشه و از ریسک‌ها آگاه باشیم همیشه از نظر آموزش و تحلیل خوب باشیم تا بهترین تصمیم رو بگیریم بدون دست‌کم کردن از توانایی‌هامون باید مراقب باشیم که تبدیل به بازی شرطی نشیم,business_and_finance
این هوا چقدر گرمه اصلا تابستونو یادم نرفته,weather_and_seasons
سالاد سزار پرپروک به شدت آشغاله,food_and_cooking
این بشر هر سری مسته زنگ می‌زنه میگه تو تاج سرمی,entertainment_and_pop_culture
چه خوبه وقتی غذاهای خوشمزه و خوشرنگی درست می‌کنی و بعد از خستگی روز با خانواده و دوستانت لذت می‌بری نمیدونم چرا اینقدر آشپزی خوشحال‌کننده است ولی همیشه دوست دارم تجربه کنم و براش وقت بذارم,food_and_cooking
عشق ورزش و ورزشکاران روز به‌روز بیشتر میشه احساس کرد بازی و حرکت زندگی رو پویا و پرانرژی میکنه هر روز از ورزش لذت ببرید و به سلامتیتون اهمیت بدید,sports_and_athletics
نه یعنی واقعا می‌خواستید ایران خانه‌ی خوبان شود؟ خب ریدید که,politics_and_current_affairs
نه ولی فکر کنم واقعا کینه‌ایم من یه بار تمام حرفای تلخ مامانم که تو بچگی بهم گفته بود رو تک‌تکشون با جزئیات گفتم بهش و تنها چیزی که با بهت و تعجب داشت بگه این بود که چقدر کینه‌ای هستی,family_and_parenting
دقیقه قبل از خواب خوندن کتابی از شاهنامه حال و هوایی دلفریب و آرامش‌بخش داشت عاشق حس خوبی که کتاب‌ها به آدم میدن بدون کتاب زندگی چقدر کسل‌کننده میشه,books_and_literature
چه خوبه که با محصولات زیبایی و آرایشی به خودمون مراقبت کنیم و از زیبایی خود لذت ببریم همیشه باید خودمون رو محبوب کنیم و با خودمون راحت باشیم برای همیشه زیبا و شاد باشیم,beauty_and_cosmetics
برای من مد و استایل یعنی راحتی و شیک بودن همزمان مهم نیست چه جوری لباس بپوشی فقط باید خودت رو خوب ببینی و احساس خوبی داشته باشی,fashion_and_style
دلم می‌خواد یه کاری کنم حوصله‌م بیاد سر جاش کمک,other
بازی کردن چه حس خوبی داره همیشه خوش می‌گذره و استرس رو ازمون می‌کشه بهترین راه برای سرگرمی و مسخره کردن دوستاته,gaming
مبارکه باباش کیه؟ این پست که می‌گه ایلان ماسک می‌تونست با پول خریدن توییتر این باشگاه فوتبال رو بخره,business_and_finance
الان تازه دو سوم شدی بابا,other
بابا تروخدا مموتی رو برگردونید این مملکت که درست بشو نیست حداقل بیاریدش یکم فیلم و می‌م فان دربیاریم شاد شیم بخدا دلم براش تنگ شده,entertainment_and_pop_culture
مد و استایل همیشه جذاب و جالبه همیشه دوست دارم که با لباس‌های خاص و منحصر به فرد خودم رو بهتر بشناسونم این حس خوبیه که با یه لباس خوشگل خودتو مطمئن‌تر و شادتر ببینی,fashion_and_style
آخرین کتابی که خوندم واقعا جذاب بوده پیرمرد و دریا داستانش واقعا معنی‌دار و قلب رو می‌لرزونه پیشنهاد می‌کنم حتما بخونید,books_and_literature
ماشین‌های جدید چقدر قشنگن همشون با اون طراحی‌های خلاقانه و امکانات پیشرفته واقعا دلنشینن میخوام یه روزی یکیشونو داشته باشم و روی خیابونا باهاش بچرخم,automotive
عاشقانه‌ترین کار دنیا اینه که بتونیم خودمون رو زیباتر کنیم هر روز با یه آرایش ساده و یه کرم مرطوب‌کننده پوست خودتون رو خوشحال کنید همیشه لازم نیست با آرایش گریه کنیم طبیعی بودن هم زیباست,beauty_and_cosmetics
نسل ما نسل مجازی بود کل زندگیمون تو مجازی گذشت می‌ترسم بمیریم و ختم مون رو هم مجازی بگیرن تموم شه بره,technology_and_innovation
بازی کردن یه حس خاصی داره خیلی خوبه که میتونی تو دنیای مجازی حس خوبی داشته باشی و استرس‌ها رو فراموش کنی بازی کردن بهترین راه برای استراحته,gaming
اووه امروز خونه یکم آشفته شده نمی‌دونم از کجا شروع کنم برای تمیز کردن شاید یه کمک یا ترفند خوبی برای دست‌یابی به خونه‌یی خوشمزه و تمیز داشته باشین؟ ممنون,home_and_garden
چیت شیت سایت‌های ایرانی این جمله رو بالای سایتت بنویس و بعد دیگه هر غلطی خواستی بکن,funny_and_humorous
خانواده و پرورش یکی از بهترین چیزهاییه که میتونی داشته باشی همیشه ارزش قائل باش به وقتی‌که با خانوادت هستی و از لحظات خوب با هم لذت ببرید همچنین به خانوادهت احترام بذار و در مسیر رشد و تربیت فرزندانت همراهشون باش خانواده گنجیه که هیچ پولی نمیتونه جایگزینش بشه,family_and_parenting
دلیلی نداره که همیشه خانواده رو حمایت نکنیم خانواده اینجاست که وقتی دنیا دلتون رو شکست بهتون کمک میکنه بلند بشید و دوباره امیدوار بشید خیلی قشنگ احساس می‌کنم که خانواده دارم,family_and_parenting
اووف خدایا عشق و حال حیوانات چقدر دوست دارم با یه سگ یا گربه دلباخته بشم و همه‌روزه باهاشون بازی کنم و باهاشون بغل شوم و بغل بشم کاش می‌شد همه‌جا حیوان خانگی داشته باشیم,pets_and_animals
دلام,other
دین و معنویت یه چیزیه که هر کس به شکل خودش بهش نگاه میکنه و هر کس داره باهاش ارتباط برقرار میکنه هر چی خودتو باهاش راحت‌تر وصل کنی بهتره,religion_and_spirituality
دوستان اگه از چایی آلبالو بدتون میاد یعنی چایی آلبالوی خوب نخوردید حرف دیگه‌ای ندارم امشب شو خوش,food_and_cooking
این اکانت هاک شده و این توییت توسط مهدی صیامی زده می‌شود,technology_and_innovation
چقدر دلم میخواد یه خونه با باغچه داشته باشم بتونم تویش باغبونی کنم و لذت ببرم یه جایی که هم آروم باشم هم با خونواده و دوستانم وقت خوبی داشته باشم هرچی دلم میخواد رو توی خونه و باغچه‌ام تجربه کنم,home_and_garden
فشن و استایل یعنی خوشتیپی و خوشپوشی هرچی بیشتر باشیم زیباتر میشیم دلم میخواد همیشه با سبک و شیکی بپوشم فشن و استایل یه جور جادوییه که خودمون رو بهتر و خوشحالتر میکنه,fashion_and_style
ورزش و ورزشکاری یکی از بهترین راه‌ها برای سلامتی و خوشحالیه هر روز حداقل یکم وقت برای فعالیت ورزشی آزاد داشته باشیم و ببینیم چقدر تاثیر خوبی روی زندگیمون داره با ورزش هم تندرست و هم روحانیتون قوی میشه بیایید همه با هم ورزش کنیم,sports_and_athletics
واقعا انقدر فیلم کلاسارو روی x دیدم به صورت غریزی حتی دیگه فیلم هم میخوام ببینم میذارم رو x بعد هیچی نمی‌فهمم,entertainment_and_pop_culture
دولت حالا که توییتر رو فیلتر کرده من دیگه نمی‌دونم چه خبره اما هر چی باشه خوبیا رو ببینیم و بدیا رو فراموش کنیم جاری,politics_and_current_affairs
دنیای تجارت و مالی خیلی پیچیده شده همه چیز به پول مربوط میشه و هیچ‌کس براش وقت نداره ولی بازم باید باهاش دست و پنجه نرم کرد یعنی چکار کنیم؟,business_and_finance
این هوا چقدر گرمه تابستون اومده و داره آفتاب می‌تابه من دیگه به زمستون و هوای سردش خسته شدم,weather_and_seasons
همیشه بهترین لحظات زندگیم توی کنار خانوادم بوده هیچ چیزی نمیتونه ارزش و اهمیت خانواده رو جایگزین کنه مرسی از خدا که خانواده‌ای عالی دارم,family_and_parenting
یواش‌یواش داریم به دانشجوی گرامی نمره درس شما با مقدار ثبت‌شده است نزدیک میشیم,education_and_learning
هنر و طراحی چقدر خوشمزه است هر بار که یک اثر هنری را می‌بینم قلبم شاد می‌شود و روحم پر از احساسات می‌شود هنر و طراحی واقعا جادویی هستند که جهان را زیبا و پر رنگ می‌کنند,art_and_design
دنیای کسب و کار و مالیات خیلی پیچیده است هر روز قوانین جدیدی اضافه می‌شود و ما باید همیشه بروز باشیم اما با تمرکز و تلاش همه چیز ممکن است به امید روزهای موفقیت در دنیای بیزینس و مالی,business_and_finance
فارغ شم دیگه هیچوقت این خراب‌شده رو نمی‌بینم,other
ورزش و ورزشکاران بخش مهمی از زندگی ما هستن همیشه دلم میخواد برم ورزش کنم و انرژی زیادی بدست بیارم حالا که فصل بهاره وقتشه بیشتر بیرون برم و با دوستام ورزش کنم خیلی دوست دارم فوتبال بازی کنم کی همراهم میشه؟,sports_and_athletics
یه چیزی که همیشه تو زندگیمون حسابی خنده داره اینه که چطور همیشه تو دقیقه‌های مهم وقتمون یه چیزی پیش میاد که هیچ وقت تو فکرمون نبود,funny_and_humorous
شعر از علی اسدالهی دانشجوی سابق علم‌و‌صنعت که ورودی بود و در اعتراضات اخراج شد,education_and_learning
اوه اوه این سیاست‌ها و اخبار روز از کجا شروع کنم؟ همه چیز آشفته و پیچیده شده میخوام برم زیر پتو و از این همه دردسر فرار کنم,politics_and_current_affairs
کجا می‌رویم؟ الان کجا می‌رویم؟,entertainment_and_pop_culture
واقعا نباید جلسه آخر همه کلاسا موقع خدافظی غمگین و بغض‌دار بشم ولی میشم,education_and_learning
اره خود مرده‌م,other
غصه نخور بهار میاد کمبوزه با خیار میاد,food_and_cooking
فشن و استایل یعنی خوش‌پوشی با سلیقه و شیک بودن هر روز با ترکیبات جدید و مدرن بهترین لباس رو انتخاب کن و خودت رو برجسته کن,fashion_and_style
مامانم بدون اینکه چیزی بهش بگم فهمیده بود حالم خوب نیست زنگ زد زورم کرد برگردم خونه منم تا گفتم باشه و گوشیو قطع کردم زدم زیر گریه وای خدایا بسه دیگه,family_and_parenting
من از همین الان بابت فحش‌هایی که به فصول سرما دادم عذرخواهی می‌کنم گرمهه,weather_and_seasons
همیشه عاشق کتاب‌ها بودم حس خوبی داره که وقتت رو با دنیایی جدید و جذاب مثل کتاب‌ها سپری کنی به نظرتون چه کتابی رو باید حتما بخونیم؟,books_and_literature
